epoch,loss,mAP,val_loss
0,2.513692617,0.114535321,2.718734503
1,2.126978874,0.226548,3.068947077
2,1.846182823,0.396295594,2.534521389
3,1.329590797,0.588295546,2.286455727
4,1.040225267,0.673333034,2.182698584
5,1.384881616,0.728795353,1.782654881
6,1.808917999,0.760574139,1.75639987
7,1.728955507,0.763694013,1.769110084
8,1.616716266,0.781937387,1.749956608
9,1.605874062,0.779666245,1.489713192
10,1.529166102,0.781744507,1.5294379
11,1.479628086,0.799977309,1.616488814
12,1.479923606,0.810603107,1.490390658
13,1.44152391,0.816235657,1.548984051
14,1.344516754,0.798064851,1.462350011
15,1.350337625,0.82383345,1.450073123
16,1.318361044,0.874483597,1.372233987
17,1.273805618,0.933779126,1.346539259
18,1.267124386,0.938064231,1.360256195
19,1.189293785,0.933893656,1.274412632
20,1.157517524,0.957973296,1.261815429
21,1.114017072,0.951340797,1.290679097
22,1.097888613,0.958769135,1.274962783
23,1.057905521,0.949171838,1.331219435
24,1.013972294,0.934221098,1.137742043
25,1.004977944,0.947016248,1.173052796
26,1.057451487,0.951791663,1.027092731
27,0.995701969,0.959327332,1.02172159
28,0.950505042,0.954993607,0.982072108
29,0.992516458,0.962589914,0.961439419
30,0.923297577,0.964130888,0.916334915
31,0.881186628,0.957287283,0.920743775
32,0.846294022,0.958101825,0.92176615
33,0.815822985,0.96802442,0.915977681
34,0.80158,0.983753985,0.906557562
35,0.80158,0.983753985,0.906557562
36,0.80158,0.983753985,0.906557562
37,0.80158,0.983753985,0.906557562
38,0.80158,0.983753985,0.906557562
39,0.80158,0.983753985,0.906557562
40,0.80158,0.983753985,0.906557562
41,0.80158,0.983753985,0.906557562
42,0.80158,0.983753985,0.906557562
43,0.80158,0.983753985,0.906557562
44,0.80158,0.983753985,0.906557562
45,0.80158,0.983753985,0.906557562
46,0.80158,0.983753985,0.906557562
47,0.80158,0.983753985,0.906557562
48,0.80158,0.983753985,0.906557562
49,0.80158,0.983753985,0.906557562
